,headers,párrafos,links
0,Historia,"Se tiene presencia de población al menos desde el siglo v. d. C. tal y como da testimonio la iglesia paleocristiana del puerto. Durante la Edad Media se construyó la atalaya de la Mola de Fornells, que vigilaba y protegía la costa norte de Menorca. A partir del saqueo del corsario Barbarroja sobre Mahón y el ataque pirata a Ciudadela en 1558 se decidió la construcción del Castillo de San Antonio de Fornells. En 1662 ya estaba construido y en estado de defensa militar.","['https://es.wikipedia.org/wiki/Arte_paleocristiano', 'https://es.wikipedia.org/wiki/Edad_Media', 'https://es.wikipedia.org/wiki/Atalaya_(construcci%C3%B3n)', 'https://es.wikipedia.org/wiki/Jeiredd%C3%ADn_Barbarroja', 'https://es.wikipedia.org/wiki/Mah%C3%B3n', 'https://es.wikipedia.org/wiki/Ciudadela_(Espa%C3%B1a)', 'https://es.wikipedia.org/wiki/1558']"
1,Historia,"La presencia del castillo de San Antonio en Fornells dio pie al nacimiento cerca del castillo de un arrabal que se puede considerar como el origen del actual casco antiguo del pueblo. Entre 1630 y 1640 se constatan las primeras casas fornelleras y en 1713 ya se contabilizaban más de 100 habitantes. Los primeros vecinos de Fornells fueron soldados, y los familiares de estos, provenientes del Castillo de San Felipe de Villacarlos, en el puerto de Mahón, que se mudaron al norte de la isla junto al resto de miembros de sus familias instalándose en el arrabal.","['https://es.wikipedia.org/wiki/Arrabal', 'https://es.wikipedia.org/wiki/Casco_antiguo', 'https://es.wikipedia.org/wiki/1630', 'https://es.wikipedia.org/wiki/1640', 'https://es.wikipedia.org/wiki/1713', 'https://es.wikipedia.org/wiki/Soldado', 'https://es.wikipedia.org/wiki/Castillo_de_San_Felipe_(Menorca)', 'https://es.wikipedia.org/wiki/Villacarlos', 'https://es.wikipedia.org/wiki/Puerto_de_Mah%C3%B3n']"
2,Historia,"Se desconoce la fecha de inicio de construcción de la Iglesia de San Antonio pero sí se sabe que en 1647 la iglesia estaba ya en disposición de ser usada para el culto religioso. En la actualidad, durante las fiestas patronales de Fornells tiene lugar una mezcla de signos religiosos y civiles que ponen de manifiesto la estrecha relación entre esta iglesia y sus feligreses.","['https://es.wikipedia.org/wiki/1647', 'https://es.wikipedia.org/wiki/Culto_religioso', 'https://es.wikipedia.org/wiki/Fiestas_patronales']"
3,Historia,"La Torre de Defensa de Fornells es una de las torres de defensa más grandes de la isla y fue construida durante la época británica, entre 1801 y 1802, con el objetivo de vigilar y proteger la entrada del puerto; por ello se encuentra situada en un punto elevado, con buenas vistas, y su forma es reforzada, como si se tratara de un pequeño castillo inexpugnable. El edificio tiene forma troncocónica, construido con piedra mortero y refuerzos de arenisca.","['https://es.wikipedia.org/wiki/Torre_de_Fornells', 'https://es.wikipedia.org/wiki/Torres_de_defensa', 'https://es.wikipedia.org/wiki/Tratado_de_Utrecht', 'https://es.wikipedia.org/wiki/1801', 'https://es.wikipedia.org/wiki/1802', 'https://es.wikipedia.org/wiki/Troncoc%C3%B3nica', 'https://es.wikipedia.org/wiki/Mortero_(construcci%C3%B3n)', 'https://es.wikipedia.org/wiki/Arenisca']"
4,Demografía,"Según el Instituto Nacional de Estadística de España, en el año 2012 Fornells contaba con 976 habitantes censados.4","['https://es.wikipedia.org/wiki/Instituto_Nacional_de_Estad%C3%ADstica_(Espa%C3%B1a)', 'https://es.wikipedia.org/wiki/2012', 'https://es.wikipedia.org/wiki/Censo_(estad%C3%ADstica)', 'https://es.wikipedia.org/wiki/Fornells#cite_note-4']"
5,Demografía,,[]
6,Evolución de la población,Datos según el nomenclátor publicado por el INE.,"['https://es.wikipedia.org/wiki/Nomencl%C3%A1tor', 'https://es.wikipedia.org/wiki/Instituto_Nacional_de_Estad%C3%ADstica_(Espa%C3%B1a)']"
7,Geología,"Desde el punto de vista geológico Fornells está formado por dolomías, rocas carbonatadas del Jurásico, permeables y fácilmente erosionables por lo que el agua con el transcurrir del tiempo ha labrado en su seno numerosos barrancos y cuevas entre las que destacan la Cueva de los Ingleses y Na Polida. A Fornells pertenecen también los islotes de Sargantanas, Revells, Porros y Tosqueta. El suelo predominante es leptosol eútrico combinado con cambisol crómico fisurado.","['https://es.wikipedia.org/wiki/Geolog%C3%ADa', 'https://es.wikipedia.org/wiki/Dolom%C3%ADa', 'https://es.wikipedia.org/wiki/Jur%C3%A1sico', 'https://es.wikipedia.org/wiki/Barranco_(geograf%C3%ADa)', 'https://es.wikipedia.org/wiki/Cueva', 'https://es.wikipedia.org/wiki/Cueva_de_los_Ingleses', 'https://es.wikipedia.org/wiki/Cueva_de_Na_Polida', 'https://es.wikipedia.org/wiki/Islote', 'https://es.wikipedia.org/w/index.php?title=Isla_Sargantana&action=edit&redlink=1', 'https://es.wikipedia.org/wiki/Isla_de_Sanitja', 'https://es.wikipedia.org/w/index.php?title=Isla_de_Tosqueta&action=edit&redlink=1', 'https://es.wikipedia.org/wiki/Cambisol']"
8,Fauna,Con respecto a la fauna acuática destaca la presencia en la bahía de Fornells de una de las dos poblaciones baleares de Pomatoschistus microps. En las praderas sumergidas de fanerógamas marinas viven las mayores colonias de agujas de río (Syngnathus abaster).,"['https://es.wikipedia.org/wiki/Pomatoschistus_microps', 'https://es.wikipedia.org/wiki/Pradera_marina', 'https://es.wikipedia.org/wiki/Faner%C3%B3gama', 'https://es.wikipedia.org/wiki/Agujas_de_r%C3%ADo']"
9,Fauna,"Por lo que respecta a la fauna invertebrada y, en especial, las especies cavernícolas, la Sima de la Albufereta es la cueva más importante. También se encuentra en el municipio una especie de arácnido, Theonoe major y un crustáceo Odontozona addaia no descritos en ningún otro lugar del mundo.","['https://es.wikipedia.org/w/index.php?title=Theonoe_major&action=edit&redlink=1', 'https://es.wikipedia.org/w/index.php?title=Odontozona_addaia&action=edit&redlink=1']"
10,Fauna,"En lo que respecta a las aves, la gaviota patiamarilla (Larus michahellis) es habitual en su puerto pesquero mientras que el papamoscas gris (Muscicapa striata),nota 1 de la subespecie balear, Muscicapa striata balearica es habitual en la época estival en los terrenos rocosos con matorrales situados entre el núcleo urbano y la Torre de Fornells.","['https://es.wikipedia.org/wiki/Larus_michahellis', 'https://es.wikipedia.org/wiki/Muscicapa_striata', 'https://es.wikipedia.org/wiki/Fornells#cite_note-5', 'https://es.wikipedia.org/wiki/Torre_de_Fornells']"
11,Monumentos y lugares de interés,Edificaciones:,[]
12,Monumentos y lugares de interés,Lugares naturales:,[]
13,Gastronomía,Fornells es la capital gastronómica de la isla de Menorca. Los pescados y mariscos frescos forman parte de una tradición culinaria en la que destaca la caldereta de langosta.,"['https://es.wikipedia.org/wiki/Pescado', 'https://es.wikipedia.org/wiki/Marisco', 'https://es.wikipedia.org/wiki/Caldereta_de_langosta']"
14,Deportes,"Pocos sitios ofrecen un marco tan apropiado para practicar vela, submarinismo, kayak o esquí acuático, como el puerto de Fornells. Tampoco falta variedad en tierra: ciclismo, equitación, golf, excursiones, deportes de aventura, etc. Fornells además, constituye una estación náutica.","['https://es.wikipedia.org/wiki/Vela_(deporte)', 'https://es.wikipedia.org/wiki/Submarinismo', 'https://es.wikipedia.org/wiki/Kayak', 'https://es.wikipedia.org/wiki/Esqu%C3%AD_acu%C3%A1tico', 'https://es.wikipedia.org/wiki/Ciclismo', 'https://es.wikipedia.org/wiki/Equitaci%C3%B3n', 'https://es.wikipedia.org/wiki/Golf', 'https://es.wikipedia.org/wiki/Excursi%C3%B3n', 'https://es.wikipedia.org/wiki/Deporte_de_aventura']"
15,Cartografía,Hoja de cartografía terrestre del CNIGː,[]
16,Cartografía,Hoja n.º 618 de la serie MTN50 del Insitituto Geográfico Nacional. (Descarga gratuita en formato digital en Centro de descargas del Centro Nacional de Información Geográfica),"['https://es.wikipedia.org/wiki/Direcci%C3%B3n_General_del_Instituto_Geogr%C3%A1fico_Nacional', 'https://es.wikipedia.org/wiki/Centro_Nacional_de_Informaci%C3%B3n_Geogr%C3%A1fica']"
17,Cartografía,"«Centro de descargas del Centro Nacional de Información Geográfica» (en español, inglés y francés).",['http://centrodedescargas.cnig.es/CentroDescargas/index.jsp#']
18,Cartografía,Cartas náuticas del Instituto Hidrográfico de la Marina;,[]
